('1894', '2', '9', 'tt0396991')
('61869', '5', '1', 'tt5980930')
('32066', '3', '24', 'tt1875337')
('79744', '6', '3', 'tt7587890')
('92461', '5', '2', 'tt10329024')
('615', '9', '6', 'tt0149460')
('98410', '2', '1', 'tt11617414')
('77661', '2', '9', 'tt12030356')
('34003', '1', '3', 'tt1726576')
('11030', '1', '5', 'tt0094518')
('62753', '2', '4', 'tt3582458')
('2548', '2', '13', 'tt0075578')
('91780', '1', '2', 'tt9690214')
('83062', '1', '2', 'tt8810204')
('112693', '2', '6', 'tt13444408')
('14707', '1', '17', 'tt0054540')
('139474', '3', '1', 'tt14456760')
('1534', '1', '3', 'tt0482870')
('203489', '2', '2', 'tt20859904')
('1532', '4', '13', 'tt0072567')
('69050', '7', '9', 'tt5420376')
('9768', '1', '10', 'tt0065326')
('210946', '1', '9', 'tt22264252')
('197429', '1', '2', 'tt19361940')
('230272', '1', '6', 'tt28304310')
('31179', '4', '23', 'tt0041038')
('1030', '1', '22', 'tt0052453')
('103540', '1', '6', 'tt12324366')
('88754', '1', '5', 'tt10285320')
('91183', '7', '5', 'tt9425082')
('43260', '1', '7', 'tt1974470')
('72598', '2', '10', 'tt5595238')
('10255', '1', '5', 'tt0092456')
('2595', '7', '14', 'tt0078638')
('13592', '2', '6', 'tt0058832')
('1840', '1', '13', 'tt0065280')
('4419', '21', '10', 'tt0350448')
('15260', '6', '5', 'tt1305826')
('64413', '1', '7', 'tt4606734')
('1270', '3', '10', 'tt0096582')
('797566', '3', '9', 'tt0085099')
('592', '1', '23', 'tt0217941')
('73502', '2', '8', 'tt7174736')
('2223', '3', '8', 'tt0058801')
('211721', '1', '3', 'tt8270482')
('108948', '1', '6', 'tt13057984')
('10126', '4', '48', 'tt0103562')
('233010', '1', '4', 'tt19770372')
('1749', '4', '3', 'tt0835010')
('822134', '1', '6', 'tt0045382')
('42589', '1', '5', 'tt2176165')
('4546', '12', '2', 'tt0264235')
('118642', '1', '7', 'tt14044212')
('5569', '3', '19', 'tt0101199')
('1039518', '1', '7', 'tt0303512')
('10099', '3', '13', 'tt0062558')
('77661', '6', '2', 'tt12030356')
('228626', '1', '11', 'tt27756857')
('55808', '22', '1', 'tt2762330')
('83061', '1', '2', 'tt9047526')
('68975', '10', '5', 'tt5938484')
('201717', '5', '2', 'tt19895990')
('115773', '3', '3', 'tt13634306')
('154731', '1', '3', 'tt16494566')
('1760', '2', '8', 'tt0235911')
('228804', '1', '23', 'tt0284757')
('14412', '1', '27', 'tt0050069')
('70952', '6', '10', 'tt4460168')
('129832', '1', '31', 'tt12912830')
('11366', '20', '14', 'tt0257295')
('1418', '12', '22', 'tt0898266')
('223438', '1', '4', 'tt27369122')
('9895', '2', '21', 'tt0062601')
('217478', '1', '4', 'tt26447652')
('102321', '5', '12', 'tt8543208')
('61575', '6', '8', 'tt3469050')
('1027', '2', '6', 'tt0061240')
('4635', '3', '20', 'tt0438719')
('72', '7', '5', 'tt0081912')
('20372', '2', '4', 'tt0159157')
('90872', '3', '15', 'tt10329042')
('2405', '2', '20', 'tt0118360')
('2685', '2', '10', 'tt0096579')
('71359', '8', '3', 'tt6666966')
('13897', '2', '15', 'tt0054519')
('23365', '3', '8', 'tt0182633')
('4354', '2', '12', 'tt0068122')
('11920', '4', '18', 'tt0047739')
('542499', '1', '15', 'tt0072564')
('14658', '44', '6', 'tt0239195')
('197125', '1', '4', 'tt19395018')
('2886', '3', '28', 'tt0057748')
('101048', '2', '3', 'tt11876490')
('494', '2', '10', 'tt0073955')
('239679', '1', '2', 'tt30018288')
('67482', '8', '5', 'tt2301351')
('3783', '4', '3', 'tt0063948')
('1925', '5', '21', 'tt0060034')
('1534', '2', '4', 'tt0482870')
('221391', '1', '5', 'tt13609498')
('3129', '1', '3', 'tt0108938')
('2967', '2', '10', 'tt0416435')
('30948', '1', '6', 'tt1836417')
('224920', '1', '2', 'tt19037620')
('96548', '1', '2', 'tt11428948')
('124278', '2', '18', 'tt9610166')
('14261', '1', '24', 'tt0053537')
('126824', '1', '35', 'tt12915960')
('11920', '2', '4', 'tt0047739')
('242535', '1', '3', 'tt30487848')
('3120', '2', '23', 'tt0078561')
('2228', '1', '14', 'tt0112123')
('3626', '21', '11', 'tt0319931')
('226477', '1', '1', 'tt27862055')
('2627', '2', '10', 'tt0053540')
('4178', '3', '3', 'tt0963967')
('205154', '2', '6', 'tt21034492')
('223528', '1', '5', 'tt27371495')
('114655', '1', '1', 'tt13623608')
('17404', '58', '2', 'tt1353281')
('122194', '2', '20', 'tt12887536')
('2228', '3', '45', 'tt0112123')
('17932', '1', '31', 'tt0059962')
('107113', '3', '6', 'tt12851524')
('6432', '4', '19', 'tt0168337')
('46268', '12', '20', 'tt1877005')
('14656', '1', '14', 'tt0052483')
('12883', '2', '16', 'tt0062565')
('210878', '1', '2', 'tt15768298')
('42878', '5', '16', 'tt1986770')
('3781', '3', '6', 'tt0080299')
('1323', '2', '13', 'tt0165046')
('34549', '14', '9', 'tt1877368')
('10649', '4', '14', 'tt0051267')
('88386', '1', '8', 'tt10274462')
('503', '4', '26', 'tt0059982')
('248089', '1', '1', 'tt15205122')
('100911', '2', '8', 'tt11912196')
('13531', '2', '5', 'tt0058790')
('12212', '3', '12', 'tt0063953')
('5569', '2', '10', 'tt0101199')
('21150', '1', '13', 'tt0046588')
('114564', '3', '6', 'tt13670374')
('93221', '3', '20', 'tt9140632')
